,mal_user,series_title,series_type,series_episodes,my_score,my_status
11,Tristatic,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,1,8,Completed
70,Tristatic,Gake no Ue no Ponyo,Movie,1,8,Completed
116,Tristatic,Kimi no Suizou wo Tabetai,Movie,1,8,Completed
117,Tristatic,"Kimi to, Nami ni Noretara",Movie,1,8,Completed
128,Tristatic,"Kumo no Mukou, Yakusoku no Basho",Movie,1,8,Completed
143,Tristatic,Majo no Takkyuubin,Movie,1,8,Completed
153,Tristatic,Nakitai Watashi wa Neko wo Kaburu,Movie,1,8,Completed
203,Tristatic,Sen to Chihiro no Kamikakushi,Movie,1,8,Completed
228,Tristatic,Sword Art Online Movie: Ordinal Scale,Movie,1,8,Completed
232,Tristatic,Tamako Love Story,Movie,1,8,Completed
237,Tristatic,Toki wo Kakeru Shoujo,Movie,1,8,Completed
245,Tristatic,Tonari no Totoro,Movie,1,8,Completed
148,Tristatic,Mirai Nikki: Redial,OVA,1,8,Completed
10,Tristatic,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,8,Completed
19,Tristatic,Boku no Hero Academia,TV,13,8,Completed
20,Tristatic,Boku no Hero Academia 2nd Season,TV,25,8,Completed
21,Tristatic,Boku no Hero Academia 3rd Season,TV,25,8,Completed
22,Tristatic,Boku no Hero Academia 4th Season,TV,25,8,Completed
29,Tristatic,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,TV,13,8,Completed
32,Tristatic,Charlotte,TV,13,8,Completed
35,Tristatic,Chihayafuru,TV,25,8,Completed
41,Tristatic,Danshi Koukousei no Nichijou,TV,12,8,Completed
61,Tristatic,Fairy Tail (2014),TV,102,8,Completed
69,Tristatic,Fullmetal Alchemist: Brotherhood,TV,64,8,Completed
83,Tristatic,Haikyuu!!: To the Top,TV,13,8,Completed
84,Tristatic,Hataraku Saibou (TV),TV,13,8,Completed
92,Tristatic,Isshuukan Friends.,TV,12,8,Completed
99,Tristatic,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,8,Completed
103,Tristatic,Kakegurui,TV,12,8,Completed
107,Tristatic,"Kanojo, Okarishimasu",TV,12,8,Completed
112,Tristatic,Kimetsu no Yaiba,TV,26,8,Completed
114,Tristatic,Kimi ni Todoke 2nd Season,TV,12,8,Completed
118,Tristatic,Kiseijuu: Sei no Kakuritsu,TV,24,8,Completed
121,Tristatic,Koi to Uso,TV,12,8,Completed
125,Tristatic,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,8,Completed
126,Tristatic,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,8,Completed
134,Tristatic,Log Horizon,TV,25,8,Completed
135,Tristatic,Log Horizon 2nd Season,TV,25,8,Completed
151,Tristatic,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,8,Completed
152,Tristatic,Munou na Nana,TV,13,8,Completed
158,Tristatic,Naruto: Shippuuden,TV,500,8,Completed
161,Tristatic,Nisekoi,TV,20,8,Completed
162,Tristatic,No Game No Life,TV,12,8,Completed
167,Tristatic,One Punch Man 2nd Season,TV,12,8,Completed
172,Tristatic,Overlord,TV,13,8,Completed
187,Tristatic,ReLIFE,TV,13,8,Completed
190,Tristatic,Rokudenashi Majutsu Koushi to Akashic Records,TV,12,8,Completed
195,Tristatic,Sakura-sou no Pet na Kanojo,TV,24,8,Completed
197,Tristatic,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,TV,12,8,Completed
204,Tristatic,Shigatsu wa Kimi no Uso,TV,22,8,Completed
206,Tristatic,Shingeki no Kyojin,TV,25,8,Completed
208,Tristatic,Shingeki no Kyojin Season 3,TV,12,8,Completed
213,Tristatic,Shokugeki no Souma: Ni no Sara,TV,13,8,Completed
214,Tristatic,Shokugeki no Souma: San no Sara,TV,12,8,Completed
215,Tristatic,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,12,8,Completed
216,Tristatic,Shokugeki no Souma: Shin no Sara,TV,12,8,Completed
218,Tristatic,Soul Eater,TV,51,8,Completed
223,Tristatic,Suzumiya Haruhi no Yuuutsu,TV,14,8,Completed
229,Tristatic,Sword Art Online: Alicization,TV,24,8,Completed
230,Tristatic,Sword Art Online: Alicization - War of Underworld,TV,12,8,Completed
235,Tristatic,Tensei shitara Slime Datta Ken,TV,24,8,Completed
244,Tristatic,Tonari no Kaibutsu-kun,TV,13,8,Completed
246,Tristatic,Toradora!,TV,25,8,Completed
249,Tristatic,Violet Evergarden,TV,13,8,Completed
254,Tristatic,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,8,Completed
256,Tristatic,Yakusoku no Neverland,TV,12,8,Completed
262,Tristatic,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,8,Completed
265,Tristatic,Yuukoku no Moriarty,TV,11,8,Completed
115,Tristatic,Kimi no Na wa.,Movie,1,9,Completed
120,Tristatic,Koe no Katachi,Movie,1,9,Completed
133,Tristatic,Liz to Aoi Tori,Movie,1,9,Completed
198,Tristatic,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,9,Completed
202,Tristatic,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,9,Completed
76,Tristatic,Great Pretender,ONA,23,9,Completed
15,Tristatic,Bakemonogatari,TV,15,9,Completed
31,Tristatic,Carole & Tuesday,TV,24,9,Completed
43,Tristatic,Darling in the FranXX,TV,24,9,Completed
50,Tristatic,Dr. Stone,TV,24,9,Completed
57,Tristatic,Dragon Ball Z,TV,291,9,Completed
60,Tristatic,Fairy Tail,TV,175,9,Completed
62,Tristatic,Fairy Tail: Final Series,TV,51,9,Completed
64,Tristatic,Fate/Zero,TV,13,9,Completed
65,Tristatic,Fate/Zero 2nd Season,TV,12,9,Completed
80,Tristatic,Haikyuu!!,TV,25,9,Completed
81,Tristatic,Haikyuu!! Second Season,TV,25,9,Completed
82,Tristatic,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,9,Completed
88,Tristatic,Hyouka,TV,22,9,Completed
100,Tristatic,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,12,9,Completed
166,Tristatic,One Punch Man,TV,12,9,Completed
184,Tristatic,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,9,Completed
185,Tristatic,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,9,Completed
207,Tristatic,Shingeki no Kyojin Season 2,TV,12,9,Completed
209,Tristatic,Shingeki no Kyojin Season 3 Part 2,TV,10,9,Completed
211,Tristatic,Shokugeki no Souma,TV,24,9,Completed
221,Tristatic,Steins;Gate 0,TV,23,9,Completed
233,Tristatic,Tate no Yuusha no Nariagari,TV,25,9,Completed
242,Tristatic,Tokyo Magnitude 8.0,TV,11,9,Completed
255,Tristatic,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,9,Completed
165,Tristatic,One Piece,TV,0,9,Watching
18,r4z3fyre,Horimiya,TV,13,0,Plan to Watch
40,r4z3fyre,ReLIFE,TV,13,0,Plan to Watch
51,r4z3fyre,Suzumiya Haruhi no Yuuutsu,TV,14,0,Plan to Watch
53,r4z3fyre,Tate no Yuusha no Nariagari Season 2,TV,0,0,Plan to Watch
57,r4z3fyre,Tonari no Kaibutsu-kun,TV,13,0,Plan to Watch
8,r4z3fyre,Chuunibyou demo Koi ga Shitai! Ren,TV,12,0,Watching
13,r4z3fyre,Eromanga-sensei,TV,12,1,Completed
28,r4z3fyre,Kimi no Na wa.,Movie,1,10,Completed
17,r4z3fyre,Fullmetal Alchemist: Brotherhood,TV,64,10,Completed
49,r4z3fyre,Shingeki no Kyojin Season 3 Part 2,TV,10,10,Completed
60,r4z3fyre,Violet Evergarden,TV,13,10,Completed
50,r4z3fyre,Shingeki no Kyojin: The Final Season,TV,16,10,Watching
56,r4z3fyre,Tokyo Ghoul √A,TV,12,4,Dropped
20,r4z3fyre,Isekai Quartet,TV,12,5,Completed
0,r4z3fyre,5-toubun no Hanayome,TV,12,6,Completed
9,r4z3fyre,Darling in the FranXX,TV,24,6,Completed
35,r4z3fyre,Nakitai Watashi wa Neko wo Kaburu,Movie,1,7,Completed
2,r4z3fyre,Boku dake ga Inai Machi,TV,12,7,Completed
3,r4z3fyre,Boku no Hero Academia,TV,13,7,Completed
7,r4z3fyre,Chuunibyou demo Koi ga Shitai!,TV,12,7,Completed
15,r4z3fyre,Fairy Tail (2014),TV,102,7,Completed
25,r4z3fyre,Karakai Jouzu no Takagi-san,TV,12,7,Completed
30,r4z3fyre,Kiseijuu: Sei no Kakuritsu,TV,24,7,Completed
31,r4z3fyre,Kobayashi-san Chi no Maid Dragon,TV,13,7,Completed
38,r4z3fyre,One Punch Man 2nd Season,TV,12,7,Completed
58,r4z3fyre,Tonikaku Kawaii,TV,12,7,Completed
29,r4z3fyre,Kimi no Suizou wo Tabetai,Movie,1,8,Completed
44,r4z3fyre,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,8,Completed
4,r4z3fyre,Boku no Hero Academia 2nd Season,TV,25,8,Completed
6,r4z3fyre,Boku no Hero Academia 4th Season,TV,25,8,Completed
14,r4z3fyre,Fairy Tail,TV,175,8,Completed
16,r4z3fyre,Fairy Tail: Final Series,TV,51,8,Completed
19,r4z3fyre,Hyouka,TV,22,8,Completed
21,r4z3fyre,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,8,Completed
22,r4z3fyre,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,12,8,Completed
23,r4z3fyre,Kami no Tou,TV,13,8,Completed
24,r4z3fyre,"Kanojo, Okarishimasu",TV,12,8,Completed
26,r4z3fyre,Karakai Jouzu no Takagi-san 2,TV,12,8,Completed
33,r4z3fyre,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,8,Completed
34,r4z3fyre,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,8,Completed
39,r4z3fyre,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,8,Completed
43,r4z3fyre,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,8,Completed
45,r4z3fyre,Shigatsu wa Kimi no Uso,TV,22,8,Completed
46,r4z3fyre,Shingeki no Kyojin,TV,25,8,Completed
52,r4z3fyre,Tate no Yuusha no Nariagari,TV,25,8,Completed
55,r4z3fyre,Tokyo Ghoul,TV,12,8,Completed
59,r4z3fyre,Toradora!,TV,25,8,Completed
61,r4z3fyre,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,8,Completed
32,r4z3fyre,Koe no Katachi,Movie,1,9,Completed
42,r4z3fyre,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,9,Completed
54,r4z3fyre,Tenki no Ko,Movie,1,9,Completed
1,r4z3fyre,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,9,Completed
5,r4z3fyre,Boku no Hero Academia 3rd Season,TV,25,9,Completed
10,r4z3fyre,Death Note,TV,37,9,Completed
11,r4z3fyre,Dr. Stone,TV,24,9,Completed
27,r4z3fyre,Kimetsu no Yaiba,TV,26,9,Completed
36,r4z3fyre,No Game No Life,TV,12,9,Completed
37,r4z3fyre,One Punch Man,TV,12,9,Completed
41,r4z3fyre,Sakura-sou no Pet na Kanojo,TV,24,9,Completed
47,r4z3fyre,Shingeki no Kyojin Season 2,TV,12,9,Completed
48,r4z3fyre,Shingeki no Kyojin Season 3,TV,12,9,Completed
62,r4z3fyre,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,9,Completed
63,r4z3fyre,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,9,Completed
12,r4z3fyre,Dr. Stone: Stone Wars,TV,11,9,Watching
