,mal_user,series_title,series_type,series_episodes,my_score,my_status
178,Gugilta,Mahou Shoujo Madoka★Magica,TV,12,7,Completed
189,Gugilta,Mob Psycho 100,TV,12,7,Completed
204,Gugilta,Neon Genesis Evangelion,TV,26,7,Completed
207,Gugilta,NHK ni Youkoso!,TV,24,7,Completed
213,Gugilta,Noragami,TV,12,7,Completed
214,Gugilta,Noragami Aragoto,TV,13,7,Completed
216,Gugilta,One Outs,TV,25,7,Completed
217,Gugilta,One Punch Man,TV,12,7,Completed
227,Gugilta,Plastic Memories,TV,13,7,Completed
230,Gugilta,Psycho-Pass 2,TV,11,7,Completed
244,Gugilta,Saiki Kusuo no Ψ-nan,TV,120,7,Completed
251,Gugilta,Sakura-sou no Pet na Kanojo,TV,24,7,Completed
255,Gugilta,Sayonara Zetsubou Sensei,TV,12,7,Completed
270,Gugilta,Shinsekai yori,TV,25,7,Completed
280,Gugilta,Shouwa Genroku Rakugo Shinjuu,TV,13,7,Completed
281,Gugilta,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,7,Completed
293,Gugilta,Suzumiya Haruhi no Yuuutsu,TV,14,7,Completed
294,Gugilta,Suzumiya Haruhi no Yuuutsu (2009),TV,14,7,Completed
296,Gugilta,Tanaka-kun wa Itsumo Kedaruge,TV,12,7,Completed
297,Gugilta,Tate no Yuusha no Nariagari,TV,25,7,Completed
306,Gugilta,Tonari no Kaibutsu-kun,TV,13,7,Completed
309,Gugilta,Tsuki ga Kirei,TV,12,7,Completed
321,Gugilta,Wotaku ni Koi wa Muzukashii,TV,11,7,Completed
324,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,7,Completed
333,Gugilta,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,7,Completed
42,Gugilta,Code Geass: Fukkatsu no Lelouch,Movie,1,8,Completed
98,Gugilta,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1,8,Completed
176,Gugilta,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,8,Completed
179,Gugilta,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,8,Completed
224,Gugilta,Perfect Blue,Movie,1,8,Completed
232,Gugilta,Psycho-Pass 3: First Inspector,Movie,3,8,Completed
241,Gugilta,Redline,Movie,1,8,Completed
292,Gugilta,Suzumiya Haruhi no Shoushitsu,Movie,1,8,Completed
246,Gugilta,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,6,8,Completed
243,Gugilta,ReLIFE: Kanketsu-hen,Special,4,8,Completed
247,Gugilta,Saiki Kusuo no Ψ-nan: Kanketsu-hen,Special,1,8,Completed
0,Gugilta,3-gatsu no Lion,TV,22,8,Completed
1,Gugilta,3-gatsu no Lion 2nd Season,TV,22,8,Completed
13,Gugilta,Ansatsu Kyoushitsu,TV,22,8,Completed
24,Gugilta,Boku dake ga Inai Machi,TV,12,8,Completed
38,Gugilta,Clannad: After Story,TV,24,8,Completed
44,Gugilta,Code Geass: Hangyaku no Lelouch R2,TV,25,8,Completed
50,Gugilta,Death Parade,TV,12,8,Completed
69,Gugilta,Fate/Zero 2nd Season,TV,12,8,Completed
73,Gugilta,Gekkan Shoujo Nozaki-kun,TV,12,8,Completed
81,Gugilta,Great Teacher Onizuka,TV,43,8,Completed
102,Gugilta,Hinamatsuri,TV,12,8,Completed
133,Gugilta,Katanagatari,TV,12,8,Completed
139,Gugilta,Kimetsu no Yaiba,TV,26,8,Completed
145,Gugilta,Kiseijuu: Sei no Kakuritsu,TV,24,8,Completed
185,Gugilta,Mirai Nikki,TV,26,8,Completed
